Country,Region,Year,Water Source Type,Contaminant Level (ppm),pH Level,Turbidity (NTU),Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Lead Concentration (µg/L),Bacteria Count (CFU/mL),Water Treatment Method,Access to Clean Water (% of Population),"Diarrheal Cases per 100,000 people","Cholera Cases per 100,000 people","Typhoid Cases per 100,000 people","Infant Mortality Rate (per 1,000 live births)",GDP per Capita (USD),Healthcare Access Index (0-100),Urbanization Rate (%),Sanitation Coverage (% of Population),Rainfall (mm per year),Temperature (°C),Population Density (people per km²),Total Dissolved Solids (mg/L),Contaminant Level,Disease Indicator / Risk
Nigeria,North,2019,Lake,8.13,8.33,4.77,7.62,38.05,16.98,3810,Boiling,81.72,49,34,34,71.11,79148,6.91,22.89,78.45,2699,33.21,67,,,
Nigeria,North,2019,River,5.79,6.4,3.11,4.15,9.24,8.86,472,Chlorination,53.67,161,5,16,36.74,61004,57.63,56.26,44.95,1481,33.05,396,,,
Nigeria,North,2017,Lake,3.62,6.36,4.71,6.02,47.77,13.51,4391,,39.25,399,6,39,92.55,79975,78.43,48.74,42.1,853,4.31,631,,,
Nigeria,North,2017,Pond,8.01,7.77,3.44,8.07,38.74,16.63,3529,Boiling,64.31,441,35,4,87.34,15798,14.83,18.89,54.97,933,27.98,767,,,
Nigeria,North,2017,River,1.68,7.68,1.42,5.13,41.18,19.26,4768,Boiling,65.54,270,47,42,12.15,69693,63.8,23.16,64.03,630,26.62,81,,,
Nigeria,North,2017,Spring,9.32,7.76,0.71,4.93,49.82,6.18,3014,,97.55,425,19,91,41.75,8826,91.1,15.2,27,1792,19.36,728,,,
Nigeria,North,2017,Tap,1.81,7.51,2.61,5.81,42.02,15.97,4236,Boiling,84.21,41,25,62,98.32,84846,9.27,62.59,20.6,1790,27.14,840,,,
Nigeria,North,2017,Tap,5.36,7.9,0.36,3.65,13.62,1.72,945,,82.35,212,14,41,56.03,63342,34.04,29.36,45.15,2357,16.6,50,,,
Nigeria,North,2016,Lake,6.96,6.87,4.28,8.97,9.01,2.22,1885,Boiling,82.17,282,24,43,17.81,3392,53.16,63.07,42.82,214,27.31,992,,,
Nigeria,North,2016,River,4.17,6.33,2.41,4.21,45.92,10.03,4097,,92.45,395,1,34,59.3,48948,37.69,88.09,88.94,2220,2.08,967,,,
Nigeria,North,2015,Pond,9.64,7.98,2.7,3.54,7.73,8.65,1231,Boiling,88.39,320,45,96,95.26,70080,71,78.48,82.94,1133,21.15,371,,,
Nigeria,North,2015,River,9.59,6.94,0.53,6.5,9.6,19.32,765,Filtration,91.39,217,40,85,45.29,40432,79.79,49.32,38.47,2760,32.11,689,,,
Nigeria,North,2015,River,4.94,8.32,2,7.25,12.21,7.46,313,Chlorination,39.38,132,21,20,82.54,38653,18.93,20.37,60.09,2679,9.3,66,,,
Nigeria,North,2015,Tap,1.65,8.45,4.79,6.25,20.8,2.71,3215,Filtration,66.65,436,10,79,51.51,75213,75.86,70.98,63.04,2647,5.18,255,,,
Nigeria,North,2014,Spring,7.03,6.73,3.93,7.72,38.24,6.63,1024,,55.01,220,11,59,51.59,49613,71.88,75.93,66.29,1586,11.63,845,,,
Nigeria,North,2013,Lake,2.95,6.51,1.87,4.03,28.81,4.02,3166,Boiling,49.64,170,29,68,73.23,64243,76.94,53.18,92.01,514,7.71,917,,,
Nigeria,North,2013,River,3.57,6.69,0.33,7.63,17.68,11.24,1143,Boiling,96.85,446,13,93,60.22,49015,14.62,72.13,79.92,2628,23.97,381,,,
Nigeria,North,2013,River,1.19,6.36,1.18,5.48,14.75,0.66,2340,Boiling,79.71,200,48,72,42.2,70484,22.66,50.7,20.69,2432,7.39,93,,,
Nigeria,North,2013,Well,3.22,6.79,1.95,8.03,21.19,11.41,2972,Boiling,99.51,272,7,50,48.84,54039,83.26,42.97,54.94,2328,1.04,232,,,
Nigeria,North,2012,Lake,6.45,7.15,1.51,6.23,20.31,15.45,1766,,76.77,326,32,92,33.81,65626,26.67,37.75,21.31,312,30.15,965,,,
Nigeria,North,2012,River,4.75,6.73,4.31,6.2,39.26,18.4,1185,,92.34,129,43,87,11.46,83852,82.29,77.09,50.78,2135,1.76,116,,,
Nigeria,North,2012,River,8,8.25,2.76,5.29,49.86,17.05,1233,Filtration,59.33,493,19,89,85.95,95126,73.88,45.14,38.63,2729,38.89,349,,,
Nigeria,North,2011,Lake,7.25,6.85,0.73,3.29,32.34,15.46,753,Boiling,42.23,119,41,16,32.51,41704,37.1,36.64,86.72,1725,0.98,928,,,
Nigeria,North,2011,Tap,9.52,8.42,2.83,9.56,19.27,16.27,234,Boiling,86.89,376,40,80,82.27,21886,90.93,29.62,53.18,2428,2.5,220,,,
Nigeria,North,2011,Tap,8.89,6.51,3.92,9.97,15.89,14.91,1129,Boiling,43.91,459,28,63,42.39,54507,62.01,67.31,90.2,289,16.17,678,,,
Nigeria,North,2011,Well,6.83,7.88,4.91,3.96,49.87,2.45,115,,74.63,291,33,36,45.41,72246,61.6,22.4,43.05,2700,24.16,351,,,
Nigeria,North,2011,Well,8.57,6.45,0.95,8.36,21.1,18.57,3197,,97.88,188,24,14,55.07,21804,38.94,80.77,63.02,653,31.84,561,,,
Nigeria,North,2011,Well,8,6.4,0.85,7.24,47.79,19.67,638,Boiling,56.79,351,26,6,42.44,38813,46.7,16.09,29.53,2614,25.58,503,,,
Nigeria,North,2010,Pond,9.04,6.94,1.39,5.92,40.23,16.32,4424,Chlorination,59.92,63,17,33,91.86,49525,22.01,31.08,79.3,368,35.64,726,,,
Nigeria,North,2010,River,3.59,8.4,2.42,3.11,26.4,5.34,4206,Chlorination,94.94,247,25,0,87.07,62515,3.15,58.71,39.6,2340,27.2,801,,,
Nigeria,North,2010,Tap,9.29,7.73,0.4,4.35,23.29,16.77,2366,Chlorination,38.42,197,4,64,83.95,52314,1.83,43.58,80.49,2294,28.32,260,,,
Nigeria,North,2009,Spring,4.31,8.15,3.98,9.43,11.3,5,2256,Boiling,31.22,168,16,48,51.35,83360,81.71,36.41,67.46,715,25.6,334,,,
Nigeria,North,2009,Tap,6.26,6.95,4.87,4.56,0.64,6.01,3035,,94.7,279,24,68,44.34,2717,64.35,38.75,21.28,2440,7.76,806,,,
Nigeria,North,2009,Well,5.6,6.6,1,3.39,45.67,0.34,1730,Chlorination,80.52,8,17,29,72.69,46109,43.67,66.43,48.44,2754,1.43,856,,,
Nigeria,North,2008,Lake,1.31,8.14,1.03,4.73,7.29,16.35,922,Boiling,32.92,399,6,85,58.28,39815,28.12,81.07,92.3,2028,36.3,367,,,
Nigeria,North,2008,River,2.39,8.07,1.95,7.47,38.03,16.2,2727,Filtration,90.06,118,24,88,69.75,46269,92.81,30.61,51.19,2279,29.33,15,,,
Nigeria,North,2008,Spring,0.13,6.99,1.91,7.81,3.27,2.46,4820,Chlorination,89.46,131,3,19,5.39,73703,70.46,47.3,65.87,859,4.58,168,,,
Nigeria,North,2008,Tap,1.06,6.06,0.04,3.19,46.85,0.26,1109,,43.67,137,20,36,51.28,34488,77.97,78.53,61.89,584,39.39,142,,,
Nigeria,North,2006,Pond,7.82,7.16,0.18,9.25,19.75,11.85,4067,Filtration,42.07,405,44,3,85.01,54923,78.34,38.3,70.37,1989,8.85,70,,,
Nigeria,North,2006,Spring,9.17,7.26,4.04,5.83,16,16.11,1356,,70.85,256,20,43,46.66,15516,37.76,78.43,85.83,922,32.18,437,,,
Nigeria,North,2006,Tap,3.25,6.5,2.08,6.54,3.82,1.73,4512,,34.78,148,34,98,62.78,34186,75.06,40.49,30.91,2759,16.57,491,,,
Nigeria,North,2005,River,7.54,7.01,1.7,8.16,22.02,10.98,3610,Filtration,35.39,165,5,75,80.96,98940,97.13,27.23,38.69,784,7.62,584,,,
Nigeria,North,2005,Tap,2.34,6.1,4.36,4.89,24.27,5.87,1525,Chlorination,65.81,268,12,10,44.81,7099,95.24,41.15,34.4,2438,23.77,547,,,
Nigeria,North,2004,Spring,4.46,7.22,0.33,9.96,30.73,16.48,3659,Filtration,35.15,281,46,56,89.99,55315,50.53,32.89,49.39,2511,7.54,530,,,
Nigeria,North,2004,Well,0.34,7.23,0.54,3.79,12.14,5.6,4087,Chlorination,50.68,258,17,23,31.87,18362,73.03,31.82,65.88,2066,1.38,241,,,
Nigeria,North,2003,River,3.73,8.02,0.73,4.27,35.56,4.27,4852,Chlorination,32.89,135,16,53,96.21,42794,33.03,78.84,76.23,559,33.57,754,,,
Nigeria,North,2003,River,1.88,7.08,4.06,9.29,31.32,13.71,3740,Filtration,80.73,382,17,1,65.25,62458,82.52,38.3,78,1888,22.81,118,,,
Nigeria,North,2003,River,3.19,7.4,3.27,4.79,17.19,11.94,4571,Boiling,47.03,105,40,48,67.47,31016,54.7,27.16,75.83,2565,21.81,619,,,
Nigeria,North,2003,River,8.27,6.88,1.53,7.2,20.5,18.74,4616,Chlorination,49.43,171,28,45,7.59,91091,25.06,79.56,41.29,2421,36.05,925,,,
Nigeria,North,2002,Pond,7.05,7.24,4.9,7.81,28.25,4.41,3645,Boiling,77.41,271,19,0,87.26,89907,72.23,15.04,48.06,338,29.6,262,,,
Nigeria,North,2002,Pond,6.7,6.24,4.18,6.14,31.82,9.27,2006,Boiling,89.65,98,45,28,39.14,97262,14.37,16.07,67.36,850,20.46,320,,,
Nigeria,North,2001,Tap,4.49,6.61,1.1,8.38,44.8,12.85,3281,,97.13,437,1,50,2.73,86583,53.02,64.32,88.21,1673,28.77,758,,,
Nigeria,North,2000,Tap,6.3,8.16,2.71,4.52,18.46,12.51,3901,Boiling,92.14,479,28,91,3.13,34532,65.06,58.03,36.02,447,17.13,609,,,
Nigeria,South,2024,Well,2.14,7.76,4.06,3.81,19.85,14.68,2476,Chlorination,58.82,188,14,5,22.77,45149,1.54,21.79,98.41,1414,24.19,326,,,
Nigeria,South,2020,River,9.5,6.53,1.33,6.2,47.16,15.3,2105,Chlorination,98.64,77,27,37,36.19,68836,18.36,25.78,64.5,1032,12.45,591,,,
Nigeria,South,2020,Tap,7.37,7.29,1.37,8.34,14.74,11.43,1948,,73.13,192,30,87,92.59,36881,10.39,78.96,27.81,592,21.62,286,,,
Nigeria,South,2020,Well,3.68,8.09,3.48,9.62,18.44,10.99,3827,Chlorination,36.54,7,41,2,28.47,3309,27.87,30.82,87.58,2373,10.33,620,,,
Nigeria,South,2019,Spring,5.35,6,1.89,9.77,24.58,1.82,2532,Filtration,43.09,351,32,77,37.96,70558,84.74,11.4,54.8,1640,32.4,54,,,
Nigeria,South,2019,Spring,2.53,6.25,4.31,4.08,27.38,0.9,2366,,89.52,189,45,42,60.57,47800,5.26,35.99,41.35,615,20.18,495,,,
Nigeria,South,2019,Tap,9.77,8.34,3.31,7.73,42.61,11.87,3567,Chlorination,57.69,198,21,87,27.51,53983,70.61,16.07,27.68,2495,33.93,975,,,
Nigeria,South,2018,Lake,4.04,8.18,0.79,4.35,8.52,16.11,3103,Chlorination,37.11,84,44,36,97.55,98725,83.73,65.18,84.24,2618,18.93,558,,,
Nigeria,South,2018,Lake,5.49,7.68,4.36,9.6,8.93,0.19,1029,,84.24,81,6,10,88.35,11345,96.14,10.03,44.51,1594,12.94,33,,,
Nigeria,South,2018,Pond,9.79,8.06,2.65,5.5,29.02,5.08,4973,Boiling,68.8,79,11,2,77.87,16240,73.98,83.29,66.49,664,38.65,85,,,
Nigeria,South,2018,River,8.06,8.04,0.19,8.81,17.61,0.59,1639,,67.28,135,41,77,73.53,89529,7.37,76.44,98.3,2012,14.3,47,,,
Nigeria,South,2018,Spring,0.09,7.46,4.34,7.31,47.34,16.26,4097,,50.2,84,14,37,68.15,89685,89.25,55.17,25.07,900,14.59,673,,,
Nigeria,South,2018,Tap,0.41,6.63,2.85,5.72,28.77,6.73,2013,Boiling,47.79,286,28,90,58.11,2129,71.87,78.44,45.98,2621,39.4,426,,,
Nigeria,South,2018,Tap,6.01,7.44,1.63,9.3,11.57,7.29,2386,,88.02,440,47,1,21.59,70036,1.15,22.32,89.79,1203,36.42,411,,,
Nigeria,South,2018,Well,2.66,7.39,3.22,6.03,23.49,4.81,389,,35.64,264,20,30,3.38,47858,87.38,33.96,86.7,2391,23.18,280,,,
Nigeria,South,2017,Lake,7.35,7.98,4.63,5.09,3.07,3.95,1702,Boiling,76.63,130,49,38,19.8,91811,92.64,31.46,84.19,1703,28.09,688,,,
Nigeria,South,2017,Pond,1.94,6.18,2.53,3.55,22.33,10.63,3942,Filtration,34.57,211,27,13,36.09,58986,8.38,48.14,60.6,1257,29.62,15,,,
Nigeria,South,2017,River,2.15,6.64,4.04,4.36,1.7,1.2,1960,Boiling,41.26,233,16,61,13.99,31686,32.89,52.93,91.66,984,36.59,161,,,
Nigeria,South,2017,Tap,1.62,8.15,3.08,8.73,2.08,19.17,3840,Boiling,52.67,122,48,20,53.75,22507,51.21,84.15,25.08,563,16.33,227,,,
Nigeria,South,2016,Pond,8.16,7.87,1.25,6.02,10.56,14.54,4095,Chlorination,37.28,232,36,25,86.81,64748,62.09,12.82,24,2714,19.78,84,,,
Nigeria,South,2016,River,8.05,6.15,1.18,5.82,41.36,6.5,2283,,69.22,92,40,43,58.61,60470,9.08,65.8,61.17,2138,23.65,513,,,
Nigeria,South,2016,Well,8.34,7.73,0.65,4.48,37.08,2.16,3193,Chlorination,36.89,493,28,55,14.28,91347,11.3,27.99,29.25,2675,12.01,419,,,
Nigeria,South,2015,Pond,2.49,8.37,4.31,5.19,43.8,16.42,4612,,76.16,51,17,37,31.78,50715,74.96,21.28,66.89,2336,4.16,52,,,
Nigeria,South,2015,River,4.7,6.4,1.47,4.8,31.27,9.27,3157,,91.39,169,39,12,83.39,41681,82.72,25.29,30.73,2904,19.88,221,,,
Nigeria,South,2014,Spring,9.29,6.05,4.15,7.02,16.28,7.74,2454,,90.97,468,3,50,89.46,17946,0.55,26.18,49.15,2559,29.31,710,,,
Nigeria,South,2014,Tap,3.74,7.07,4.21,4.07,0.48,8.77,1508,,60.45,384,20,23,88.03,44972,14.96,45.78,77.59,2168,1.51,795,,,
Nigeria,South,2014,Tap,9.57,6.72,1.84,3.7,40.51,14.62,3013,Chlorination,84.52,491,47,23,5.9,24318,2.6,86.34,98.79,2957,37.26,851,,,
Nigeria,South,2014,Tap,3.47,6.68,3.53,5.68,10.19,5.61,3185,Boiling,30.69,11,26,10,74.96,31123,8.45,32.14,77.07,1595,2.14,146,,,
Nigeria,South,2014,Tap,9.71,8.23,2.25,5.13,7.11,1.35,2428,Filtration,90.48,407,20,1,91.13,80492,84.86,75.52,78.82,355,6.31,989,,,
Nigeria,South,2013,River,8.4,8.25,0.26,3.75,31.05,10.27,4274,,53.22,488,35,67,37.29,46266,94.99,68.47,32.92,2900,7.33,674,,,
Nigeria,South,2012,Lake,4.7,7.59,4.95,5.25,19.25,14.27,2308,Chlorination,51.11,318,35,39,34.29,2166,15.58,73.4,64.63,2681,17.5,200,,,
Nigeria,South,2011,Lake,4.96,6.39,2.61,6.76,21.54,13.28,1225,,73.72,425,41,38,25.36,40557,20.18,19.92,45.13,520,27.12,542,,,
Nigeria,South,2011,Pond,7.19,6.57,3.21,6.62,13.81,1.45,437,Chlorination,99.12,389,26,83,46.78,75295,45.59,56.28,70.35,311,5.3,540,,,
Nigeria,South,2011,Spring,1.02,7.93,0.38,5.71,7.25,15.55,4671,Boiling,66.49,317,40,63,61.58,21707,81.43,13.68,89.71,1364,33.7,200,,,
Nigeria,South,2011,Well,9.42,7.01,2.26,4.47,21.7,16.96,2932,Boiling,72.42,376,24,32,36.14,41377,38.94,57.08,60.56,703,22.84,230,,,
Nigeria,South,2011,Well,8.41,8.5,0.41,5.6,48.01,7.32,4496,Chlorination,88.31,342,29,77,82.15,96588,71.44,60.27,97.68,249,23.55,250,,,
Nigeria,South,2010,Well,7.61,8.46,2.25,4.74,32.98,3.69,2647,Chlorination,87.44,88,6,19,49.89,75830,68.06,29.45,20.37,1204,24.78,709,,,
Nigeria,South,2009,Tap,9.77,6.68,0.1,9.21,40.79,0.96,2333,,82.98,23,3,58,63.96,67891,6.23,83.49,20.91,2407,2.02,20,,,
Nigeria,South,2009,Tap,3.12,6.63,4.09,3.48,49.94,16.29,1093,Chlorination,83.36,455,12,3,47.48,44189,36.52,86.03,69.76,2404,3.13,985,,,
Nigeria,South,2008,Lake,0.19,6.52,2.98,3.7,49.61,1.73,123,Chlorination,73.81,458,33,80,13.59,79994,97.56,16.34,28.23,2134,6.94,813,,,
Nigeria,South,2007,River,6.22,8.04,2.17,8.31,7.76,8.38,2241,Boiling,46.36,126,39,12,92.17,35888,55.83,26.4,76.68,1864,33.11,669,,,
Nigeria,South,2007,Spring,5.11,6.17,0.19,4.44,23.8,2.75,3225,,80.01,0,24,54,31.29,25123,48.48,77.92,97.09,2623,8.02,97,,,
Nigeria,South,2007,Tap,4.38,6.19,4.99,3.47,9.51,8.83,4661,Chlorination,90.52,15,35,31,82.19,81613,89.88,22.55,49.65,1131,20.97,715,,,
Nigeria,South,2006,Spring,2.5,8.23,2.43,8.58,48.02,10.66,4986,Boiling,77.47,277,30,93,20.43,96809,4.94,75.51,26.68,2786,3.25,642,,,
Nigeria,South,2005,Lake,1.45,7.44,1.65,6.52,47.88,18.53,1800,Chlorination,72.26,276,21,26,23.39,31351,82.36,49.58,89.99,2991,30.94,23,,,
Nigeria,South,2005,Tap,6.78,8.43,3.03,9.21,22.02,11.16,2597,Filtration,76.61,402,4,25,51.75,18270,92.93,56.55,98.28,1098,5.2,46,,,
Nigeria,South,2004,Lake,7.77,8.18,1.79,9.14,9.25,10.47,571,Boiling,64.43,449,49,18,12.18,60547,98.17,76.86,88.33,869,20.94,99,,,
Nigeria,South,2004,Pond,5.63,8.05,4.76,4.76,38.98,12.3,869,,58.23,305,2,8,24.8,63439,82.48,76.65,76.74,2581,22.05,951,,,
Nigeria,South,2004,Well,2.25,8.4,4.58,8.41,4.53,0.49,4189,Chlorination,46.5,114,6,12,27.99,47692,59.76,55,24.21,2714,33.12,517,,,
Nigeria,South,2004,Well,3.96,6.13,3.14,7.71,28.32,7.56,2140,Chlorination,47,127,7,48,79.01,39503,91.74,22.59,49.18,2216,36.55,305,,,
Nigeria,South,2004,Well,1.49,6.76,4.49,8.9,45.7,16.6,3911,,98.86,84,6,73,10.46,62937,34.99,55.33,78.83,2260,34.17,158,,,
Nigeria,South,2004,Well,8.02,7.42,0.4,3.35,8.61,15.14,2739,Chlorination,35.32,419,35,44,52.34,58818,71.23,18.79,50.3,210,22.21,336,,,
Nigeria,South,2004,Well,4.53,6.58,2.8,9.79,46.02,19.97,535,,89.09,415,3,4,57.63,96016,80.78,73.17,92.07,1570,39.73,989,,,
Nigeria,South,2003,River,1.13,7.08,2.39,7.69,0.93,6.45,3266,Chlorination,44.19,431,12,34,95.08,85146,78.02,32.31,46.45,1329,9.58,777,,,
Nigeria,South,2003,Tap,6.41,6,1.74,3.09,18.76,13.13,2337,Chlorination,34.49,199,23,27,29.97,41606,11.7,87.01,27.74,2852,28.37,433,,,
Nigeria,South,2002,Well,2,7.8,3.95,3.89,46.39,6.69,938,Boiling,96.43,278,3,73,57.05,13513,56.34,27.95,42.85,2372,8.42,584,,,
Nigeria,South,2001,Well,3.27,7.55,3.59,5.46,18.12,3.45,3683,Boiling,93.63,367,15,19,4.88,49073,48.75,68.45,45.38,2322,26.88,865,,,
Nigeria,West,2024,Lake,4.49,7.41,2.83,9.27,39.95,14.1,2779,Filtration,92.1,143,35,51,99.78,51194,42.43,46.36,94.2,2344,17.12,608,,,
Nigeria,West,2024,Lake,8.08,7.14,1.39,7.57,49.83,17.01,1297,Filtration,48.06,134,33,54,95.67,70510,15.61,75.42,42.1,2788,5.98,489,,,
Nigeria,West,2024,Pond,5.23,7.65,0.9,9.44,4.86,0.43,3436,,62.56,116,2,43,6.58,83463,90.36,73.45,77.58,2003,3.86,285,,,
Nigeria,West,2024,River,3.83,8.16,0.71,9.52,22.65,17.79,108,Chlorination,61.85,259,43,39,70.69,70910,99.62,66.06,81.85,866,11.16,498,,,
Nigeria,West,2024,Tap,3.17,6.33,1.56,4.61,30.93,7.58,1478,Filtration,42.3,143,3,75,47.24,24826,47.97,40.21,32.52,1923,6.83,921,,,
Nigeria,West,2024,Well,1.61,7.01,2.33,4.34,21.18,0.35,4172,,34.39,256,15,93,97.67,99587,2.6,66.74,54.83,1804,32.19,421,,,
Nigeria,West,2024,Well,2.59,6.64,1.97,4.68,7.56,5.24,452,Boiling,52.68,294,17,34,76.97,1808,32.4,20.12,65.86,424,26.8,107,,,
Nigeria,West,2023,Lake,5.14,6.14,4.06,3.28,31.44,12.95,2493,Boiling,73.99,140,44,39,14.04,15322,77.16,16.45,63.37,2461,20.81,885,,,
Nigeria,West,2023,Well,7.56,6.37,1.42,8.78,24.4,7.94,4567,,93.38,75,4,29,76.55,62665,80.23,83.9,31.52,1793,17.51,45,,,
Nigeria,West,2023,Well,7.42,6.71,0.31,4.34,32.66,6.66,798,,38.35,58,2,14,76.59,12644,78.08,31.54,44.33,1500,38.45,385,,,
Nigeria,West,2022,Pond,3,7.13,1.32,9.74,38.19,0.64,1998,Chlorination,38.68,198,7,61,79.24,57802,30.27,19.11,54.94,1608,32.75,418,,,
Nigeria,West,2022,Spring,9.99,7.29,2.83,8.93,31.09,0.14,3742,Boiling,88.73,233,36,58,2.36,74955,94.1,32.54,80.99,1353,34.58,804,,,
Nigeria,West,2021,Lake,2.42,7.8,0.6,4.5,4.88,13.99,2262,Chlorination,77.44,374,27,83,72.45,84446,71.8,62.37,43.2,2132,29.73,650,,,
Nigeria,West,2021,Lake,2.24,6.94,2.33,5.57,3.98,4.13,3833,Filtration,58.14,114,42,90,64.38,54285,1.16,33.88,33.82,1888,16.94,134,,,
Nigeria,West,2021,Spring,1.16,8.28,4.4,5.87,9.31,19.6,2075,Chlorination,43.09,314,44,11,29.29,25571,97.82,60.51,73.2,993,13.36,317,,,
Nigeria,West,2021,Spring,4.82,8.24,1.74,8.81,31.9,8.66,611,Chlorination,56.48,239,10,62,97.23,61425,53.24,21.79,91.58,1824,14.25,791,,,
Nigeria,West,2021,Tap,8.79,6.04,4.15,4.43,14.08,6.26,774,,76.41,104,34,41,15.95,9779,58.64,76.22,46.65,2859,36.78,249,,,
Nigeria,West,2020,Pond,7.04,7.93,0.35,8.97,36.33,17.97,1563,Chlorination,77.68,35,18,49,54.3,98940,50.7,38.57,43.52,2039,29.07,113,,,
Nigeria,West,2020,River,8.36,8.3,1.12,3.9,38.78,11.63,1497,Boiling,74.78,399,44,10,51.31,91830,30.97,82.78,81.9,2177,10.03,561,,,
Nigeria,West,2020,Tap,0.65,7.45,1.04,6.78,29,11.41,940,Filtration,66.16,292,41,62,61.73,46468,32.4,49.07,28.79,2657,36.86,910,,,
Nigeria,West,2020,Well,2.28,6.56,3.35,3.41,12.39,8.52,3813,Chlorination,63.09,40,45,4,16.94,48879,62.42,77.98,92.57,1143,31.79,748,,,
Nigeria,West,2019,River,5.23,6.3,4.97,4.4,25.54,11.95,3612,Filtration,61.36,44,25,42,10.19,19610,87.36,48.76,75.29,378,19.27,813,,,
Nigeria,West,2019,River,2.43,7.93,3.14,7.59,22.83,12.23,1069,Chlorination,67.97,138,40,19,78.56,42826,91.5,71.94,54.34,230,30.67,727,,,
Nigeria,West,2019,River,8.1,6.75,3.24,3.5,31.21,5.34,2183,Filtration,47.85,265,39,41,78.82,15189,94.89,26.01,44.81,580,12.31,624,,,
Nigeria,West,2019,River,9.6,6.95,2.36,4.12,49.71,0.87,14,Filtration,90.13,129,44,89,78.63,88742,49.22,45.89,74.8,2912,28.27,566,,,
Nigeria,West,2019,Spring,4.45,6.15,2.09,7.47,45.64,3.16,2715,Boiling,87.27,90,17,96,50.16,63630,58.69,35.27,64.48,2843,26.03,929,,,
Nigeria,West,2019,Tap,9.01,6.75,3.66,7.43,14.93,18.61,1994,Filtration,55.6,134,21,72,50.07,73525,54.9,88.79,23.61,2216,29.14,212,,,
Nigeria,West,2019,Well,1.63,7.85,2.4,6.58,43.24,7.77,2515,,70.43,487,37,71,85.25,4250,46.95,39.4,68.63,1526,6.59,793,,,
Nigeria,West,2018,Tap,2.43,8.03,4.58,8.26,40.67,13.2,1246,Filtration,83.46,145,22,66,51.56,18398,84.77,37.74,93.61,1362,26.38,814,,,
Nigeria,West,2017,Pond,3.83,7.51,4.82,8,32.98,5.39,4197,Filtration,61.9,277,25,32,58.4,51087,36.24,84.21,92.24,507,29.66,967,,,
Nigeria,West,2016,River,0.74,8.32,3.93,3.95,24.84,16.42,3732,Filtration,76.52,287,30,31,72.83,8282,42.93,54.47,48.29,2150,16.34,257,,,
Nigeria,West,2015,Spring,5.33,6.42,3.2,7.06,22.66,3.93,2034,,55.01,329,4,26,75.06,16081,15.58,47.3,31.77,325,4.27,593,,,
Nigeria,West,2015,Well,6.51,8.24,0.05,9.65,26.64,10.77,909,Boiling,69.67,177,16,99,31.93,28298,94.19,37.64,40.34,2379,32.92,744,,,
Nigeria,West,2015,Well,6.86,8.17,1.65,8.78,23.71,14.96,995,Chlorination,60.7,407,48,56,31.21,69739,50.79,35.07,65.67,323,39.21,833,,,
Nigeria,West,2014,Spring,9.31,6.45,3.15,6.3,44.51,12.27,4482,Chlorination,90.56,37,8,4,22.84,11334,59.73,61.98,74.4,1489,13.29,780,,,
Nigeria,West,2014,Tap,8.56,6.02,1.84,5.5,9.25,1.98,2116,Chlorination,45.9,365,28,88,12.87,13246,48.35,17.2,34.11,2903,19.94,172,,,
Nigeria,West,2013,Lake,8,8.12,0.64,6.54,28.04,5.58,820,Filtration,79.01,188,20,92,13.86,70090,61.75,57.9,21.26,2175,31.74,965,,,
Nigeria,West,2013,River,5,7.52,2.31,3.5,22.59,14.76,1565,Chlorination,85.64,277,38,76,45.2,9091,18.7,85.99,64.37,292,36.7,98,,,
Nigeria,West,2013,Well,6.34,8.45,3.4,5.91,25.96,9.56,2625,,44.21,422,38,53,67.48,57765,74.23,76.7,72.01,1963,19.64,481,,,
Nigeria,West,2011,Spring,8.37,8.17,2.68,4.05,9.36,1.62,4965,,95.25,446,23,8,88.03,13042,40.55,19.39,29.82,664,23.48,146,,,
Nigeria,West,2010,River,0.83,7.32,1.97,9.01,31.26,1.25,4422,Chlorination,64.79,246,47,83,34.78,85587,99.69,53.3,56.26,1458,34.48,962,,,
Nigeria,West,2010,Spring,4.93,6.73,0.95,4.23,18.72,17.71,2512,Filtration,57.9,136,33,97,4.39,30405,65.43,44.58,49.35,1454,9.82,704,,,
Nigeria,West,2009,Pond,2.94,7.31,1.19,8.45,11.41,1.5,92,Filtration,50.91,228,20,6,91.77,7888,64.71,49.72,68.47,2026,8.74,86,,,
Nigeria,West,2008,Pond,0.21,6.99,1.04,4.37,36.46,5.15,664,Chlorination,88.42,459,32,98,73.73,7995,20.31,18.36,37.54,1358,16.58,95,,,
Nigeria,West,2007,Spring,5.94,6.56,4.02,9.15,44.21,10.49,3447,Filtration,44.75,72,9,81,35.92,47186,96.76,71.73,96.09,2721,19.39,209,,,
Nigeria,West,2007,Spring,4.64,6.11,3.55,9.4,31.77,3.32,1041,Chlorination,50.14,183,20,54,97.58,54547,45.92,17.12,66.59,2051,9.08,899,,,
Nigeria,West,2007,Well,3.88,6.97,2.59,3.21,21.73,0.41,3160,Chlorination,86.03,243,34,38,75.84,14616,91.16,74.24,46.34,996,8.88,76,,,
Nigeria,West,2006,River,6.25,7.69,3.43,6.66,43.32,4.89,2015,,43.33,4,18,9,80.17,38043,31.42,59.96,30.07,500,17.45,114,,,
Nigeria,West,2005,Pond,3.58,7.01,0.16,3.41,28.63,5.91,4387,,75.16,390,13,5,3.99,32160,81.16,60.92,32.76,980,10.68,151,,,
